epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1839.94,0.8858,0.62083,0.92536,0.84302,0.88767,0.90177,0.72069,0.92579,0.60514,0.93881,0.000641125,0.000641125,0.000641125
31,1902.44,0.88666,0.61846,0.92449,0.85869,0.88805,0.91115,0.72984,0.9143,0.57557,0.94079,0.00062875,0.00062875,0.00062875
32,2006.48,0.86892,0.60975,0.92301,0.87585,0.87303,0.90332,0.72282,0.89585,0.58137,0.93432,0.000616375,0.000616375,0.000616375
33,2059.25,0.87096,0.62324,0.91807,0.83781,0.87003,0.89866,0.72194,0.90653,0.59946,0.93306,0.000604,0.000604,0.000604
34,2110.53,0.85702,0.60605,0.92419,0.86271,0.88331,0.90592,0.72862,0.91235,0.58364,0.93408,0.000591625,0.000591625,0.000591625
35,2193.29,0.8709,0.60517,0.92149,0.87201,0.89778,0.9194,0.73977,0.90026,0.56757,0.9341,0.00057925,0.00057925,0.00057925
36,2384.97,0.84846,0.5931,0.91616,0.86811,0.89753,0.91795,0.73724,0.91444,0.57105,0.93386,0.000566875,0.000566875,0.000566875
37,2452.08,0.85639,0.58724,0.91782,0.87874,0.89266,0.91787,0.73476,0.91741,0.57584,0.93732,0.0005545,0.0005545,0.0005545
38,2517.11,0.84743,0.59685,0.91806,0.86179,0.90486,0.91064,0.73276,0.90995,0.57913,0.93312,0.000542125,0.000542125,0.000542125
39,2569.74,0.84805,0.59643,0.91845,0.86414,0.89865,0.92001,0.74384,0.9036,0.57008,0.9323,0.00052975,0.00052975,0.00052975
40,2652.25,0.84751,0.58294,0.91336,0.87009,0.87921,0.90619,0.72979,0.91324,0.57575,0.93683,0.000517375,0.000517375,0.000517375
41,2709.13,0.83233,0.57646,0.91166,0.87887,0.89711,0.91859,0.7323,0.96214,0.57754,0.93995,0.000505,0.000505,0.000505
42,2757.68,0.83557,0.57108,0.91348,0.84891,0.88756,0.90719,0.72763,0.9192,0.58008,0.94037,0.000492625,0.000492625,0.000492625
43,2807.16,0.83446,0.57056,0.91136,0.85297,0.90662,0.91711,0.73875,0.91546,0.56935,0.93374,0.00048025,0.00048025,0.00048025
44,2855.12,0.81337,0.56117,0.90313,0.85997,0.91234,0.91573,0.73928,0.92808,0.56721,0.93452,0.000467875,0.000467875,0.000467875
45,2907.12,0.8195,0.55503,0.91009,0.87494,0.88194,0.91067,0.73742,0.91023,0.56366,0.93296,0.0004555,0.0004555,0.0004555
46,2957.58,0.81902,0.56397,0.90422,0.87182,0.90315,0.92316,0.7446,0.92318,0.558,0.93521,0.000443125,0.000443125,0.000443125
47,3029.96,0.81641,0.54994,0.90251,0.86772,0.88622,0.91455,0.74007,0.90993,0.55857,0.93277,0.00043075,0.00043075,0.00043075
48,3112.02,0.8136,0.54625,0.90419,0.87405,0.91266,0.92379,0.74523,0.91953,0.54993,0.93191,0.000418375,0.000418375,0.000418375
49,3168.41,0.80154,0.53819,0.90242,0.88236,0.89082,0.92365,0.74765,0.9094,0.54677,0.93554,0.000406,0.000406,0.000406
50,3220.37,0.80498,0.54242,0.90293,0.89062,0.88519,0.91925,0.74402,0.90469,0.54613,0.93116,0.000393625,0.000393625,0.000393625
51,3271.32,0.78734,0.53398,0.89872,0.88249,0.89834,0.9219,0.74974,0.903,0.5475,0.93317,0.00038125,0.00038125,0.00038125
52,3317.31,0.78636,0.52391,0.89542,0.8707,0.88409,0.91627,0.73939,0.93059,0.55811,0.93245,0.000368875,0.000368875,0.000368875
53,3362.96,0.77796,0.5215,0.89579,0.87743,0.89841,0.91595,0.73533,0.94347,0.55854,0.943,0.0003565,0.0003565,0.0003565
54,3409.7,0.771,0.52077,0.89186,0.87937,0.89371,0.91693,0.74279,0.92579,0.55183,0.93783,0.000344125,0.000344125,0.000344125
55,3452.09,0.77741,0.51124,0.89947,0.8852,0.90146,0.9211,0.74772,0.91834,0.54349,0.93448,0.00033175,0.00033175,0.00033175
56,3491.43,0.74336,0.50091,0.88557,0.88621,0.90212,0.9207,0.74458,0.92481,0.5438,0.93704,0.000319375,0.000319375,0.000319375
57,3534.46,0.75437,0.50177,0.89157,0.88573,0.91031,0.92915,0.7557,0.91778,0.53825,0.93925,0.000307,0.000307,0.000307
58,3577.41,0.76299,0.50562,0.89072,0.87842,0.89746,0.91564,0.74362,0.91236,0.54734,0.93807,0.000294625,0.000294625,0.000294625
59,3618.64,0.74115,0.48556,0.88618,0.87099,0.89084,0.91524,0.73888,0.91633,0.5469,0.93673,0.00028225,0.00028225,0.00028225
60,3674.86,0.73767,0.48135,0.88509,0.87679,0.90491,0.92247,0.74999,0.92406,0.53879,0.93575,0.000269875,0.000269875,0.000269875
61,3717.18,0.73098,0.48407,0.8862,0.86992,0.89007,0.91567,0.74274,0.92607,0.54915,0.93636,0.0002575,0.0002575,0.0002575
62,3758.74,0.72878,0.47918,0.87955,0.87445,0.89375,0.92062,0.74464,0.91695,0.54122,0.94649,0.000245125,0.000245125,0.000245125
63,3801.33,0.73817,0.49098,0.88824,0.88235,0.89708,0.91924,0.74553,0.92386,0.54469,0.94297,0.00023275,0.00023275,0.00023275
64,3847.6,0.71949,0.47298,0.87795,0.87178,0.89505,0.92118,0.74647,0.93292,0.54197,0.93685,0.000220375,0.000220375,0.000220375
65,3889.18,0.72332,0.47331,0.8842,0.87202,0.89072,0.91104,0.73787,0.92734,0.54196,0.94605,0.000208,0.000208,0.000208
66,3932.37,0.7213,0.47336,0.88156,0.87404,0.89732,0.92079,0.74124,0.92955,0.54397,0.9356,0.000195625,0.000195625,0.000195625
67,3974.73,0.70704,0.46501,0.87752,0.88647,0.88941,0.91501,0.74251,0.92501,0.53432,0.93757,0.00018325,0.00018325,0.00018325
68,4023.16,0.70707,0.46412,0.87382,0.89323,0.88627,0.92012,0.7482,0.92324,0.53431,0.93645,0.000170875,0.000170875,0.000170875
69,4066.64,0.70472,0.45218,0.87511,0.87707,0.90293,0.91704,0.74599,0.93187,0.54366,0.93733,0.0001585,0.0001585,0.0001585
70,4109.72,0.69857,0.45259,0.87617,0.88989,0.88391,0.91377,0.74168,0.91932,0.54528,0.93953,0.000146125,0.000146125,0.000146125
71,4162.41,0.67198,0.38458,0.87303,0.87893,0.89656,0.91409,0.74364,0.91987,0.53569,0.93831,0.00013375,0.00013375,0.00013375
72,4214.24,0.65967,0.37262,0.86686,0.87862,0.89418,0.91815,0.74518,0.92603,0.53567,0.94101,0.000121375,0.000121375,0.000121375
73,4255.55,0.66074,0.37092,0.87154,0.89744,0.87354,0.91807,0.74471,0.92742,0.53477,0.93987,0.000109,0.000109,0.000109
74,4298.32,0.65732,0.37158,0.86576,0.88567,0.89418,0.91821,0.74701,0.9169,0.53127,0.93855,9.6625e-05,9.6625e-05,9.6625e-05
75,4339.54,0.64465,0.36139,0.86864,0.89379,0.8849,0.92067,0.74866,0.92068,0.53082,0.9404,8.425e-05,8.425e-05,8.425e-05
76,4379.44,0.6365,0.35303,0.86772,0.88548,0.89533,0.91991,0.74946,0.91719,0.52907,0.93838,7.1875e-05,7.1875e-05,7.1875e-05
77,4419.2,0.63355,0.3517,0.86068,0.87951,0.89508,0.91778,0.74683,0.92568,0.53273,0.94047,5.95e-05,5.95e-05,5.95e-05
78,4461.2,0.62625,0.34863,0.85658,0.8925,0.89005,0.92027,0.74821,0.92802,0.5325,0.94274,4.7125e-05,4.7125e-05,4.7125e-05
79,4502.66,0.61757,0.34492,0.85409,0.87803,0.89995,0.91913,0.7486,0.92134,0.53205,0.93994,3.475e-05,3.475e-05,3.475e-05
80,4545.14,0.61282,0.33956,0.8542,0.88618,0.89426,0.92022,0.75078,0.92148,0.53331,0.93953,2.2375e-05,2.2375e-05,2.2375e-05
