epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.7716,1.30812,1.74097,1.11459,0.60694,0.74534,0.67694,0.47252,1.05923,1.04625,0.99169,0.000328502,0.000328502,0.000328502
2,101.76,1.11976,1.01289,1.01536,0.67706,0.71796,0.72859,0.49603,1.1283,0.91298,1.03183,0.000653646,0.000653646,0.000653646
3,153.286,1.09381,0.93582,0.9995,0.72484,0.75124,0.77295,0.55763,1.04258,0.87972,0.99988,0.000970539,0.000970539,0.000970539
4,203.052,1.09702,0.88667,1.00118,0.68307,0.74501,0.73344,0.51776,1.05516,0.84594,0.9905,0.000962875,0.000962875,0.000962875
5,250.359,1.0593,0.86193,0.98672,0.79402,0.78649,0.83161,0.60694,1.04055,0.73573,0.98342,0.0009505,0.0009505,0.0009505
6,297.523,1.03686,0.82057,0.97763,0.73018,0.8057,0.83506,0.62335,1.00926,0.80761,0.96993,0.000938125,0.000938125,0.000938125
7,348.45,1.02811,0.80129,0.97503,0.81952,0.82222,0.86616,0.65293,1.01637,0.69188,0.96646,0.00092575,0.00092575,0.00092575
8,401.008,1.00414,0.7923,0.97032,0.81598,0.82117,0.8541,0.63962,0.97741,0.68614,0.96852,0.000913375,0.000913375,0.000913375
9,448.733,1.00939,0.77978,0.96405,0.75977,0.75768,0.78818,0.57788,1.04045,0.77096,0.98005,0.000901,0.000901,0.000901
10,495.581,1.01369,0.76671,0.9722,0.79025,0.85336,0.85409,0.65309,0.99924,0.68291,0.96537,0.000888625,0.000888625,0.000888625
11,546.057,0.98767,0.75427,0.96402,0.81779,0.85878,0.87773,0.67325,0.97165,0.6613,0.95688,0.00087625,0.00087625,0.00087625
12,593.716,0.977,0.73761,0.96202,0.82599,0.85189,0.87907,0.6771,0.97003,0.65266,0.95421,0.000863875,0.000863875,0.000863875
13,642.758,0.97323,0.73159,0.9629,0.81798,0.82885,0.84854,0.6492,0.985,0.67659,0.96089,0.0008515,0.0008515,0.0008515
14,697.233,0.95696,0.71599,0.94906,0.83944,0.8762,0.8877,0.69013,0.95012,0.63765,0.9474,0.000839125,0.000839125,0.000839125
15,744.841,0.94689,0.7117,0.95125,0.84134,0.87652,0.90785,0.71367,0.93559,0.62587,0.94544,0.00082675,0.00082675,0.00082675
16,794.68,0.9595,0.69773,0.95114,0.84159,0.87136,0.89332,0.69576,0.9336,0.62667,0.94893,0.000814375,0.000814375,0.000814375
17,841.707,0.96059,0.70829,0.95452,0.84854,0.85592,0.89213,0.70127,0.93172,0.62163,0.94328,0.000802,0.000802,0.000802
18,889.928,0.93735,0.69607,0.94306,0.87453,0.84521,0.89386,0.70677,0.90789,0.62564,0.94002,0.000789625,0.000789625,0.000789625
19,944.43,0.93674,0.68173,0.94323,0.84298,0.89585,0.90253,0.71371,0.91685,0.61311,0.94159,0.00077725,0.00077725,0.00077725
20,992.559,0.92516,0.67344,0.93767,0.86499,0.87532,0.9038,0.71699,0.92258,0.61795,0.93901,0.000764875,0.000764875,0.000764875
21,1073.79,0.93732,0.67316,0.94469,0.87334,0.84827,0.9007,0.70739,0.92035,0.6127,0.94132,0.0007525,0.0007525,0.0007525
22,1145.75,0.92474,0.67205,0.93536,0.856,0.87685,0.90041,0.70809,0.94376,0.60606,0.94513,0.000740125,0.000740125,0.000740125
23,1247.57,0.91555,0.66696,0.93531,0.83446,0.88836,0.91019,0.72756,0.9036,0.61566,0.93261,0.00072775,0.00072775,0.00072775
24,1372.55,0.89968,0.64618,0.93288,0.85635,0.88939,0.90885,0.72516,0.91261,0.58291,0.93408,0.000715375,0.000715375,0.000715375
25,1442.6,0.91209,0.63839,0.93711,0.84845,0.89484,0.90462,0.72384,0.92051,0.60259,0.93565,0.000703,0.000703,0.000703
26,1516.79,0.90222,0.63667,0.93132,0.84955,0.88059,0.89913,0.71394,0.93133,0.61122,0.93865,0.000690625,0.000690625,0.000690625
27,1607.21,0.9001,0.63516,0.9308,0.85442,0.90544,0.91279,0.73087,0.92566,0.59252,0.93398,0.00067825,0.00067825,0.00067825
28,1696.94,0.88711,0.62686,0.92398,0.85842,0.89309,0.9097,0.72758,0.91033,0.59622,0.9365,0.000665875,0.000665875,0.000665875
29,1771.48,0.89377,0.63628,0.92672,0.88186,0.89001,0.9219,0.74311,0.90521,0.58097,0.93349,0.0006535,0.0006535,0.0006535
