epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4844,1.00287,0.84855,0.94435,0.82935,0.85073,0.878,0.67301,0.98596,0.73998,0.93752,0.000328502,0.000328502,0.000328502
2,38.1051,1.02982,0.86435,0.9518,0.78309,0.82483,0.85131,0.63975,1.04292,0.78066,0.96031,0.000653646,0.000653646,0.000653646
3,55.1363,1.04981,0.88064,0.95474,0.83477,0.81561,0.86535,0.64684,1.03901,0.78364,0.95826,0.000970539,0.000970539,0.000970539
4,72.2622,1.06045,0.88375,0.96201,0.80363,0.82547,0.85659,0.64581,1.02194,0.77098,0.96046,0.000962875,0.000962875,0.000962875
5,89.2928,1.05335,0.86816,0.95625,0.81447,0.80262,0.85702,0.64225,1.03767,0.78163,0.96258,0.0009505,0.0009505,0.0009505
6,103.61,1.0336,0.84894,0.95393,0.7958,0.81666,0.84916,0.64274,1.01194,0.74761,0.95337,0.000938125,0.000938125,0.000938125
7,115.799,1.04472,0.84213,0.95459,0.82665,0.82316,0.8686,0.6347,1.0911,0.7841,0.97486,0.00092575,0.00092575,0.00092575
8,127.93,1.02535,0.8381,0.95189,0.82983,0.78567,0.85089,0.63904,1.00816,0.76677,0.95692,0.000913375,0.000913375,0.000913375
9,140.302,1.02745,0.82701,0.94855,0.80552,0.83132,0.8658,0.65437,1.0196,0.75893,0.95868,0.000901,0.000901,0.000901
10,152.355,1.03369,0.81702,0.95553,0.81656,0.83847,0.87536,0.67267,0.98566,0.74878,0.95114,0.000888625,0.000888625,0.000888625
11,164.455,1.01846,0.82635,0.95081,0.82121,0.81013,0.85929,0.64547,1.04114,0.7416,0.96226,0.00087625,0.00087625,0.00087625
