epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9915,0.9388,0.76764,0.92468,0.82469,0.84313,0.86939,0.6707,0.98058,0.73106,0.93906,0.000328502,0.000328502,0.000328502
2,25.0438,1.03321,0.86636,0.95382,0.74582,0.82374,0.8275,0.61552,1.04141,0.82906,0.96387,0.000653646,0.000653646,0.000653646
3,36.9525,1.05527,0.88545,0.95645,0.77522,0.75779,0.81331,0.59626,1.07019,0.8447,0.97317,0.000970539,0.000970539,0.000970539
4,48.7757,1.06118,0.88303,0.96103,0.82836,0.82111,0.86679,0.65214,1.0138,0.76466,0.95699,0.000962875,0.000962875,0.000962875
5,60.4882,1.04501,0.86585,0.95497,0.83327,0.80361,0.86826,0.65068,1.02353,0.77014,0.95636,0.0009505,0.0009505,0.0009505
6,72.183,1.0322,0.84857,0.9528,0.79222,0.8434,0.86754,0.64807,1.04223,0.74327,0.95867,0.000938125,0.000938125,0.000938125
7,83.9698,1.0406,0.84359,0.95455,0.79822,0.84818,0.87076,0.65509,1.01927,0.75187,0.95604,0.00092575,0.00092575,0.00092575
8,95.7322,1.02461,0.83988,0.95083,0.81453,0.82731,0.8749,0.66293,0.98838,0.74651,0.95206,0.000913375,0.000913375,0.000913375
9,107.764,1.02505,0.82145,0.94729,0.81765,0.85883,0.88121,0.66926,1.01121,0.72242,0.95365,0.000901,0.000901,0.000901
10,119.551,1.02609,0.81146,0.95382,0.82152,0.85005,0.88561,0.6785,0.98341,0.72479,0.95095,0.000888625,0.000888625,0.000888625
11,131.352,1.01502,0.82619,0.95131,0.81853,0.8483,0.87892,0.6677,1.00927,0.73648,0.95275,0.00087625,0.00087625,0.00087625
12,143.114,1.00585,0.80256,0.9487,0.83952,0.83559,0.8855,0.67634,1.01056,0.71621,0.95677,0.000863875,0.000863875,0.000863875
13,154.906,1.00462,0.79525,0.95181,0.84193,0.83594,0.87723,0.66992,1.02792,0.7161,0.95337,0.0008515,0.0008515,0.0008515
14,166.661,0.99923,0.78802,0.94026,0.83845,0.84242,0.88031,0.67831,0.99355,0.70881,0.94892,0.000839125,0.000839125,0.000839125
15,178.491,0.9869,0.78396,0.9449,0.84706,0.83281,0.88052,0.67324,1.00569,0.73586,0.95125,0.00082675,0.00082675,0.00082675
16,190.427,0.99343,0.77223,0.94127,0.85116,0.84645,0.88741,0.68818,0.9617,0.68915,0.9411,0.000814375,0.000814375,0.000814375
17,202.344,1.0043,0.78197,0.94678,0.84706,0.84583,0.88343,0.67947,0.98447,0.70764,0.9471,0.000802,0.000802,0.000802
18,214.12,0.98551,0.77642,0.93861,0.83024,0.86125,0.88238,0.68319,0.96889,0.69193,0.94414,0.000789625,0.000789625,0.000789625
19,225.957,0.98393,0.75693,0.93929,0.82296,0.8487,0.87974,0.67832,0.97606,0.7101,0.94655,0.00077725,0.00077725,0.00077725
20,237.835,0.97833,0.75741,0.93663,0.827,0.86287,0.89279,0.69074,0.9672,0.68126,0.95072,0.000764875,0.000764875,0.000764875
21,249.773,0.98691,0.7574,0.94248,0.85408,0.84319,0.89049,0.68761,0.97773,0.68831,0.94386,0.0007525,0.0007525,0.0007525
22,261.77,0.97139,0.75027,0.93094,0.85262,0.83542,0.88114,0.67721,0.99179,0.69983,0.94673,0.000740125,0.000740125,0.000740125
23,273.729,0.96361,0.74374,0.93118,0.82812,0.873,0.89493,0.69247,0.97585,0.6893,0.94384,0.00072775,0.00072775,0.00072775
24,285.772,0.94745,0.73358,0.92983,0.86657,0.85124,0.89935,0.70233,0.97112,0.66654,0.94322,0.000715375,0.000715375,0.000715375
25,297.72,0.96104,0.73048,0.93565,0.84774,0.86046,0.89481,0.69336,0.96252,0.67716,0.94128,0.000703,0.000703,0.000703
26,309.741,0.95532,0.7231,0.93078,0.85123,0.87156,0.89717,0.69361,0.99657,0.67461,0.94495,0.000690625,0.000690625,0.000690625
27,321.539,0.94642,0.71582,0.93073,0.84469,0.87874,0.91009,0.71907,0.95435,0.65375,0.93953,0.00067825,0.00067825,0.00067825
28,333.511,0.94386,0.71152,0.92521,0.85239,0.86486,0.90209,0.70376,0.95723,0.65456,0.94179,0.000665875,0.000665875,0.000665875
29,345.442,0.95229,0.71826,0.92868,0.84407,0.86483,0.89952,0.70297,0.97294,0.66508,0.94122,0.0006535,0.0006535,0.0006535
30,357.417,0.93939,0.70624,0.92652,0.83759,0.86642,0.89379,0.69872,0.95097,0.6619,0.93792,0.000641125,0.000641125,0.000641125
31,369.387,0.94215,0.70885,0.92799,0.85403,0.873,0.8962,0.70088,0.95161,0.64441,0.94,0.00062875,0.00062875,0.00062875
32,381.507,0.93435,0.69799,0.9251,0.86946,0.85313,0.90207,0.70771,0.97508,0.65162,0.94102,0.000616375,0.000616375,0.000616375
33,393.531,0.93011,0.707,0.92099,0.85751,0.8753,0.91033,0.71574,0.97637,0.65402,0.9412,0.000604,0.000604,0.000604
34,405.397,0.92249,0.69935,0.92858,0.83807,0.87446,0.89992,0.70664,0.96382,0.65071,0.9358,0.000591625,0.000591625,0.000591625
