epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2349.78,1.51071,2.62804,1.73469,0.32858,0.17868,0.14888,0.06381,1.64524,13.1314,1.75073,0.00024293,0.00024293,0.00024293
2,4485.21,0.84393,1.45795,1.2484,0.18354,0.33808,0.08924,0.03131,2.82401,26.1648,2.95055,0.000490247,0.000490247,0.000490247
3,6750.68,0.8652,1.29355,1.3151,0.03297,0.30676,0.01715,0.00536,2.99513,39.8424,3.72901,0.000727378,0.000727378,0.000727378
4,9126.67,0.99792,1.27479,1.35573,0.00087,0.05125,0.00046,0.00021,2.70379,3494.74,16.3355,0.000954323,0.000954323,0.000954323
5,11223,0.94274,1.19734,1.31348,0.05822,0.25552,0.02427,0.00692,3.55926,61.6765,4.50879,0.00117108,0.00117108,0.00117108
6,13250.5,0.97115,1.18855,1.35382,0.16579,0.05765,0.02987,0.01049,3.75316,6.02478,5.05244,0.00128753,0.00128753,0.00128753
7,15441.1,0.9519,1.18876,1.3255,0.23762,0.26619,0.13607,0.05044,2.78491,4.12772,3.3664,0.00125923,0.00125923,0.00125923
8,17552.3,0.78422,0.97938,1.24438,0.28988,0.21268,0.13692,0.03981,3.1156,3.24412,3.25017,0.00123094,0.00123094,0.00123094
9,19831.9,0.80601,1.00043,1.19915,0.19626,0.24057,0.08224,0.02774,3.04747,5.93303,3.1179,0.00120265,0.00120265,0.00120265
10,21919.3,0.80046,0.96152,1.22388,0.22473,0.2847,0.12742,0.04016,2.70945,8.65387,2.91942,0.00117435,0.00117435,0.00117435
11,24076.8,0.72427,0.88105,1.19114,0.1795,0.26904,0.08965,0.02945,2.93424,7.98572,3.31102,0.00114606,0.00114606,0.00114606
