epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7737,0.92085,0.6884,0.92371,0.86863,0.87258,0.90874,0.70906,0.99241,0.65446,0.93912,0.000328502,0.000328502,0.000328502
2,36.5968,0.92998,0.70095,0.92591,0.84245,0.85225,0.88686,0.68536,1.00584,0.69929,0.94893,0.000653646,0.000653646,0.000653646
3,53.8625,0.94686,0.71097,0.92694,0.84358,0.83419,0.87231,0.66464,1.03058,0.71779,0.95663,0.000970539,0.000970539,0.000970539
4,71.0368,0.96006,0.72303,0.9313,0.84458,0.83344,0.87651,0.67045,0.9895,0.68796,0.94982,0.000962875,0.000962875,0.000962875
5,90.3094,0.94291,0.71802,0.92552,0.83975,0.83774,0.88077,0.67566,0.99338,0.70581,0.94817,0.0009505,0.0009505,0.0009505
6,118.061,0.9384,0.71455,0.92585,0.83551,0.84833,0.88398,0.6767,1.01327,0.69114,0.95136,0.000938125,0.000938125,0.000938125
7,146.751,0.95862,0.7104,0.93064,0.80907,0.84953,0.87836,0.65332,1.09263,0.72699,0.97363,0.00092575,0.00092575,0.00092575
8,174.585,0.94542,0.72023,0.92782,0.84304,0.84243,0.88085,0.68428,0.98261,0.68747,0.94572,0.000913375,0.000913375,0.000913375
9,202.388,0.94362,0.70147,0.92423,0.84015,0.81349,0.86631,0.66864,0.99351,0.70277,0.94798,0.000901,0.000901,0.000901
10,230.061,0.94727,0.69361,0.93091,0.82872,0.85803,0.88907,0.69495,0.98219,0.67105,0.94427,0.000888625,0.000888625,0.000888625
11,259.292,0.94176,0.70575,0.92843,0.83403,0.84227,0.87516,0.67154,1.02693,0.68243,0.95645,0.00087625,0.00087625,0.00087625
12,290.928,0.92839,0.68869,0.92589,0.81354,0.84054,0.87572,0.67502,1.01318,0.69025,0.95477,0.000863875,0.000863875,0.000863875
13,322.876,0.92695,0.68873,0.92871,0.85622,0.83391,0.87631,0.6653,1.06066,0.68748,0.96013,0.0008515,0.0008515,0.0008515
14,355.126,0.92139,0.68902,0.91854,0.86008,0.8706,0.89703,0.69509,0.98267,0.6667,0.9494,0.000839125,0.000839125,0.000839125
15,387.916,0.91002,0.68449,0.92126,0.83595,0.85289,0.88728,0.68511,1.00938,0.678,0.94982,0.00082675,0.00082675,0.00082675
16,421.225,0.91959,0.67247,0.91994,0.84397,0.85686,0.88695,0.68932,0.98812,0.67775,0.94848,0.000814375,0.000814375,0.000814375
17,453.152,0.92976,0.68386,0.92539,0.83757,0.87502,0.89412,0.69876,0.97639,0.65704,0.94909,0.000802,0.000802,0.000802
